,Cw*01,Cw*02,Cw*03,Cw*04,Cw*05,Cw*06,Cw*07,Cw*08,Cw*12,Cw*14,Cw*15,Cw*16,Cw*17
A*01, 0.19337554857943534, 0.21908192642415444, -1.1210078552378711, -0.7388986583851318, 0.36629399878921431,  1.4228402026577773, 0.57665896204027456, -1.5667070461297479, 0.60312807618153197,-0.065810693222136063,0.050846184750102233, 0.32923240173749296,-0.26903304818509705
A*02, 0.65831985239328361,-0.28683859542420082,  0.9243570672571666,-0.17747288639521538,-0.15099661520716004,-0.61828366674436097, 0.57196825543674845, 0.88441713906816999,-0.71853384367007755,-0.22832759343746556, 0.15994434015610362,-0.62994506422806551,-0.38860838920491081
A*03, 0.11253506443767161, 0.50961374437418649,-0.56118616076520111, 0.69711355431110078,  1.2266980272381125, 0.51710574705645718,  -1.050774472112515,-0.68430994362723752,  1.0844047103589418, -1.3960986727229732, 0.15497191385684853,-0.75970321225313808, 0.14962969984774635
A*11,  0.3998852851682782,-0.83355689710946634, 0.75008851785655384, 0.48806644733749449,-0.42214944788880243, -1.2820905006946985, 0.88721680152924354,  1.4892025244310403, 0.52933606521053245,-0.028625255259488204,-0.13721108820514369,-0.94862984885526203,-0.89153260352028285
A*23,-0.005118856922210804,-0.055192717726827087,-0.37880546924253072,-0.43085123063595893,-0.061574276094603364,  1.0068384084047708, 0.52282924424476906,-0.37388509456534497,-0.27710726196064361,-0.12454490360216745,-0.38569825226917648,-0.32418547604855896,   0.887295886418483
A*24, 0.36480570717231803,  -1.106605283834236, 0.93547846999728657, 0.43284219007496011,0.0057221750907700637, -1.1828636233242209, 0.50158804993860739, 0.82405929452292459, 0.46163097790225383, 0.21180664566692289,-0.17781183503481252,-0.49617154581055728,-0.77448122236221506
A*25,0.027543909635210681,-0.0041170355697861243,-0.14111388086606597, 0.23343738001130596,-0.0064008659580340032,-0.024048329608711429,0.067310741926793649,-0.024473430296966095,-0.089229182421530578,-0.01144539356930969,-0.016910617741230791,-0.0061895745323520936,-0.0043637210093235368
A*26, -0.4530258779741147, 0.50008703450316927,  1.2817623789545762,-0.64996873301512437,-0.078157826868219343,-0.77368400918147862,-0.0030955141833092902, 0.56803947446199266,  0.2490395768030719,0.018337231903223384,  -1.268825230776998, 0.94358613354591692,-0.33409463817270579
A*29, 0.11325005712947578,-0.27084716240232187, 0.12259166842943588,0.053289095926840474,-0.15662037672380488, 0.48797630594811653, -1.9469257214035969,-0.20502504320921477,-0.72232991735014063, 0.43414974302596443,   2.354210357079729,-0.14447553811674099,-0.11924346833374194
A*30, 0.17819116724440562, -0.1325323319457046, -1.7377995344124619,-0.24611938984157661,-0.30387037679862161,  2.5405116047235605,-0.16200627596759715,  1.0294583084708921,-0.57502774096080989, -0.4461600225958981,-0.46631041523553085,-0.29652046834056173, 0.61818547565990389
A*31,-0.073750311414618575, 0.20055923216830401, 0.94036370628162436, 0.16631151140954589, -0.4613112309977449,-0.42759180208738523,-0.33948642865260031, 0.43128636521538249,-0.86555237818694686, 0.23556384908284184, 0.37645481101526157,0.060341817291048525,-0.24318914112471304
A*32,-0.16522864770587919, 0.84555514553243816,-0.43399117568084405, 0.43869362047194072,  0.9693854979681793,0.046696369489924859, 0.22810643051152832, -1.0320870083770068, -0.2351695629173868,-0.51005248164760986,-0.92411300155309173, 0.53691837465233339, 0.23528643925547316
A*33,-0.029717420392130298,-0.45655310500573676,  1.3706434370839733,-0.44286349898607019, -2.0658530158924124,-0.55341223405743845,  1.0379655969757531,  1.3841779609075808,  0.7687082767505361,  1.2210602598282176, -1.0310129118386602,-0.80937227339620055,-0.39377107197741434
A*34,0.052728855660788908,-0.24378126863213534,-0.10342821031410221,  1.1961494969121436,-0.19324276507851784,-0.22782995597646305,  1.2443037335796807, -1.2700907906267216,-0.33227805636120034,-0.96836921240254648,  1.3263686534049639,-0.39288662467201113,-0.087643855493879375
A*36,-0.013864586433070309,-0.0025828483233116852,-0.012116211369802274,0.072602177311197558,-0.0041788907012019457,-0.0078381429268145949, 0.08237674250022449,-0.0076996994860269391,-0.017103350133266308,-0.0064677202683087655,-0.07359133034999038,-0.0069236950204269289,-0.0026124447992018807
A*66,-0.054568025339866072,-0.010101942139041488,-0.046280926480623825,-0.05302219016297887,-0.011762024033996524,-0.041833877271433006,-0.63780257458232126,-0.025559534799665086, 0.55365101046233545,0.017114526999936062,-0.065113523709927193,-0.028786966002080541, 0.40406604705966204
A*68, 0.49847237119345222,-0.17165168737496131, -1.0615719982819585, 0.33144275837681586, 0.20617092906342174,0.021259909959855272,-0.01935854552695844,-0.87206321089415517, 0.16891363545525309, -1.1931794792015544,  0.9204704522822128,  1.2541825325318579,-0.083087667583280331
A*69,-0.075517447551824865,-0.017078582752614702,-0.29643708455896217,-0.34935391233926183,-0.0090911350464304569,-0.025108909681258337, 0.49905155245061089,-0.39203276190389214, 0.79178172264756608,-0.019277979590601735,-0.066834144458772157,-0.030662616335500596,-0.0094387008790584731
A*74,-0.88040696925618711,-0.043127244325516755, 0.17694609959284716,-0.38251002969656434,-0.041517140509360985,-0.43475649180361198,-0.50928469038371482,-0.35187969270652442,-0.61096343485666116,  2.5621834808147841,-0.39227648404243354, 0.94766234112620829,-0.040069743953264521
B*07, -1.0565461197412136,-0.21136933023281551, -1.0706322941405582,-0.73774133479095449,  0.4005667341502816,-0.89966557806158209,  3.2888805015383382,-0.15916095973252881,-0.73383368231375901,-0.50130496123295232,  2.2350879257101512,-0.35974318549667927,-0.19453771565572764
B*08,-0.54153557315378587,-0.12075405680246636,-0.71079580491042771, -0.4451618478507342, 0.66588223112585665,-0.48475445736034178,  3.4236814147170094,-0.30626206324342409,-0.65810923128120835,-0.20199153150881827,-0.31106587041465633,-0.23315156863729508,-0.075981640679705989
B*13, -1.0892264992402343, -0.2760046566489926,  3.4885810098461718, 0.72458742681261346,-0.41036079346526683,  2.7326924864066733,-0.97460102139804372, -1.1855589035662881,-0.40537376831905669,-0.81893894897511621, -1.0589865100394775,-0.41444868704849092,-0.31236113436449991
B*14,  -0.434029390310678,-0.057840306051997512, -0.1712494397758772,-0.31717850850042445,-0.082414987776436271, -0.9594826861623944, -0.6398523149989529,   3.658608240000746,-0.42732353211280943,-0.11407860661471084,-0.26683841360072896, -0.1140569676218597,-0.074263086473875348
B*15,-0.051060492497790828,0.072727843143131521,  1.3094665795662415,   1.756384270676377,-0.98448579272753223, -1.7980680715263198,-0.03592396830205144,  2.8780747057905276,-0.51184850147578864, -1.1445075969152396,-0.91395175091148217, 0.14994272748144208,-0.72674995230151362
B*18, -1.0277047861768438,-0.13372994066354499,-0.32338123227641419,-0.76360805564756251, 0.48348965799318999,-0.69178021078946872,  1.7010836076612785,-0.71169324228981012,  1.8913219844935876,0.065938801782630868,-0.12482583047451423,-0.23687975576191406,-0.12823099785061384
B*27, 0.61891944709178592,  3.1436947230321906, 0.10082634582898398,  -1.377015479475465,-0.43511484950195639,-0.81919683182878889, -2.0645580745382257,-0.64103191469617793,  1.8015733257317643,-0.33415053569951908,  0.7156695515109841,-0.43008628586128356,-0.27952942159429278
B*35,-0.90578451760018464,-0.45067153223453349,  1.9089811564338881,  3.3387244777514464, -0.6085473907784319,-0.96004652449902739, -2.0500553420255132, 0.75848533830027565,  1.2926241118724258,-0.50602915010715621,-0.77001019055716757,-0.66101618289075703,-0.38665425366526496
B*37,-0.10874181260747412,-0.11901040330890598,-0.96080223984407975, -0.1731550122358147,-0.16412747433151059,  3.7329882350482113, -1.0086554132699104,-0.68840847854516896, -0.4264760017895512, 0.26646097253398421,-0.083334535358292675,-0.16720388345637932,-0.099533952835108297
